Virtual User Script started at : 2017-04-11 17:24:54	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Connect succeeded on try 1: comm-type = telnet;host-name = 172.31.73.40;terminal-id = ;set-window-size = true;security-type = unsecured;terminal-type = vt420-8;terminal-model = vt420;login-command-file = ;terminal-setup-file = ;.	[MsgId: MMSG-17999]
Function TE_connect returned OK.	[MsgId: MMSG-17999]
TE_type:  typed text = yumrf<kReturn>	[MsgId: MMSG-17999]
TE_type:  typed text = Yum1234!<kReturn>	[MsgId: MMSG-17999]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Starting action Action1.	[MsgId: MMSG-15919]
Action1.c(4): lr_think_time: 0.72 seconds (recorded think time was 1.00 seconds).	[MsgId: MMSG-15947]
Action1.c(5): Notify: Parameter Substitution: parameter "rfuser" =  "RF5"	[MsgId: MMSG-13992]
TE_type:  typed text = RF5<kReturn>	[MsgId: MMSG-17999]
Action1.c(6): Notify: Parameter Substitution: parameter "password" =  "123"	[MsgId: MMSG-13992]
TE_type:  typed text = 123<kReturn>	[MsgId: MMSG-17999]
Ending action Action1.	[MsgId: MMSG-15918]
Starting action Action2.	[MsgId: MMSG-15919]
Action2.c(4): lr_think_time: 3.59 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = 0	[MsgId: MMSG-17999]
Action2.c(7): lr_think_time: 4.14 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = 0	[MsgId: MMSG-17999]
Action2.c(10): lr_think_time: 4.97 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action2.c(12): Notify: Getting new value for parameter 'receipt': table = 'receipt.dat' column = '0' row = '1'.	[MsgId: MMSG-13877]
Action2.c(12): Notify: Parameter Substitution: parameter "receipt" =  "0000000007"	[MsgId: MMSG-13992]
TE_type:  typed text = 0000000007	[MsgId: MMSG-17999]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(14): lr_think_time: 2.99 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(17): lr_think_time: 4.40 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(20): lr_think_time: 5.89 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action2.c(21): Notify: Transaction "rec" started.	[MsgId: MMSG-16999]
TE_type:  typed text = ]C1918611000192109421411117040493<kReturn>	[MsgId: MMSG-17999]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(26): lr_think_time: 3.18 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(29): lr_think_time: 6.49 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action2.c(31): Notify: Parameter Substitution: parameter "LPN" =  "00000077"	[MsgId: MMSG-13992]
TE_type:  typed text = GZ00000077<kReturn>	[MsgId: MMSG-17999]
Action2.c(32): lr_think_time: 2.92 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kF5>	[MsgId: MMSG-17999]
TE_wait_text:  pattern =  F2 - 查找值	[MsgId: MMSG-17999]
Action2.c(36): Error: TE_wait_text failed: pattern =  F2 - 查找值, timeout = 90, col1 = 1, row1 = 1, col2 = 80, row2 =24, Timeout	[MsgId: MERR-17999]
Dumping the screen contents.	[MsgId: MMSG-17999]
24 rows by 80 columns	[MsgId: MMSG-17999]
