Virtual User Script started at : 2017-04-11 17:24:15	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Connect succeeded on try 1: comm-type = telnet;host-name = 172.31.73.40;terminal-id = ;set-window-size = true;security-type = unsecured;terminal-type = vt420-8;terminal-model = vt420;login-command-file = ;terminal-setup-file = ;.	[MsgId: MMSG-17999]
Function TE_connect returned OK.	[MsgId: MMSG-17999]
TE_type:  typed text = yumrf<kReturn>	[MsgId: MMSG-17999]
TE_type:  typed text = Yum1234!<kReturn>	[MsgId: MMSG-17999]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Starting action Action1.	[MsgId: MMSG-15919]
Action1.c(3): lr_think_time: 5.66 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Action1.c(4): Notify: Parameter Substitution: parameter "rfuser" =  "rf1"	[MsgId: MMSG-13992]
TE_type:  typed text = rf1<kReturn>	[MsgId: MMSG-17999]
Action1.c(5): Notify: Parameter Substitution: parameter "password" =  "123"	[MsgId: MMSG-13992]
TE_type:  typed text = 123<kReturn>	[MsgId: MMSG-17999]
Ending action Action1.	[MsgId: MMSG-15918]
Starting action Action2.	[MsgId: MMSG-15919]
TE_type:  typed text = 0	[MsgId: MMSG-17999]
Action2.c(5): lr_think_time: 7.23 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = 1	[MsgId: MMSG-17999]
Action2.c(8): lr_think_time: 4.27 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = 0000000006	[MsgId: MMSG-17999]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(16): lr_think_time: 6.60 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
TE_wait_text:  pattern =  F1-跳过	[MsgId: MMSG-17999]
Function TE_wait_text returned OK.	[MsgId: MMSG-17999]
Action2.c(20): Notify: Transaction "pick" started.	[MsgId: MMSG-16999]
TE_type:  typed text = SH00087380	[MsgId: MMSG-17999]
Action2.c(23): lr_think_time: 2.79 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
TE_type:  typed text = ]C19186110001929500190 11161003930000117	[MsgId: MMSG-17999]
Action2.c(28): lr_think_time: 3.38 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
TE_wait_text:  pattern = F4-批号选择	[MsgId: MMSG-17999]
Function TE_wait_text returned OK.	[MsgId: MMSG-17999]
TE_type:  typed text = <kReturn>	[MsgId: MMSG-17999]
Action2.c(34): lr_think_time: 5.58 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_wait_text:  pattern =     任务	[MsgId: MMSG-17999]
Function TE_wait_text returned OK.	[MsgId: MMSG-17999]
Action2.c(36): Notify: Transaction "pick" ended with "Pass" status (Duration: 17.2770 Think Time: 16.5838 Wasted Time: 0.2000).	[MsgId: MMSG-16870]
Action2.c(39): lr_think_time: 2.91 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = <kControl-c>	[MsgId: MMSG-17999]
Action2.c(42): lr_think_time: 0.58 seconds (recorded think time was 1.00 seconds).	[MsgId: MMSG-15947]
TE_type:  typed text = exit<kReturn>	[MsgId: MMSG-17999]
Ending action Action2.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
